	kernel1	kernel2	kernel3	kernel4	kernel5	kernel6	kernel7	stride1	stride2	stride3	stride4	stride5	stride6	stride7	cross-validation-avg-r2
163	16	6	30	38	4	4	14	2	2	2	7	3	4	6	0.47100356857636005
164	38	16	40	4	40	18	14	3	3	2	7	7	7	6	0.5137890501051694
165	4	34	18	38	30	38	24	3	2	3	2	7	3	6	0.5028060272868495
166	16	30	8	8	12	10	34	6	3	3	3	8	3	3	0.45015149969158574
167	30	24	26	4	36	34	18	4	2	4	5	6	8	7	0.5142782025599228
168	28	32	16	36	22	10	26	4	3	2	3	4	2	3	0.4994264455474421
169	20	12	20	28	26	24	34	3	2	3	7	8	3	2	0.521275269828212
170	26	30	24	32	28	28	8	2	3	2	2	8	3	6	0.5134465186780353
171	14	24	20	22	16	40	30	2	2	4	4	5	2	6	0.4879806892654499
172	22	4	28	18	14	2	34	2	2	2	4	8	6	4	0.5230110087246003
173	32	18	38	12	28	6	14	2	4	3	4	7	6	2	0.4992085545073033
174	8	10	4	2	40	36	28	4	2	3	8	2	5	7	0.5023880924352433
175	24	2	12	24	8	10	30	3	3	2	3	8	4	3	0.5030347376110721
176	32	6	10	30	6	18	16	2	2	2	4	6	3	4	0.5237724216935045
177	34	28	2	28	12	8	4	6	2	2	6	4	5	7	0.5000704671654643
178	16	38	38	22	32	26	32	3	2	2	3	3	8	6	0.5277236732885058
179	38	38	12	28	6	4	8	3	2	2	5	3	8	7	0.498168110820495
180	26	34	22	12	28	30	10	3	2	3	5	4	5	3	0.5245640266035835
181	26	8	4	34	12	30	16	7	2	3	4	7	7	4	0.4882091751700756
182	34	12	38	12	28	2	18	3	3	5	5	6	5	5	0.5045024859640388
183	2	24	14	36	32	28	20	8	2	3	3	6	2	2	0.4941654604327389
184	20	38	14	38	24	18	20	5	2	5	3	7	3	5	0.5036277803956488
185	36	36	10	32	38	8	12	2	3	2	4	3	5	5	0.514630021487775
186	28	30	34	10	22	28	14	2	2	2	2	7	2	4	0.5264497795444942
187	8	28	18	32	12	18	26	3	3	3	8	3	6	5	0.49698363538616863
188	32	8	28	2	40	30	24	2	3	4	8	3	3	3	0.5116899604002062
189	28	28	14	8	14	24	14	3	2	4	2	7	2	3	0.5244446568644809
190	38	4	30	22	22	36	10	2	2	5	6	6	8	4	0.5237026346877115
191	26	34	12	22	28	32	32	5	5	7	6	4	5	8	0.35936508784960597
192	12	20	30	8	12	14	16	3	3	2	5	8	7	6	0.4945473041382256
193	32	24	26	32	10	6	34	3	3	2	7	7	3	2	0.5151071735055522
194	34	34	36	38	18	38	38	4	3	5	2	6	5	7	0.4455931786773687
195	34	20	36	10	8	6	40	3	4	2	3	7	7	2	0.49533155823459984
196	16	34	30	20	28	6	20	2	2	4	7	6	3	4	0.5233439448465391
197	10	24	18	20	34	6	36	2	2	2	3	6	6	5	0.525597571364199
198	8	38	16	22	4	26	32	4	2	3	8	4	5	5	0.5104479942848756
199	40	30	10	28	34	20	10	3	3	3	5	8	6	5	0.5060491934079485
200	24	12	38	28	28	34	18	2	2	3	5	7	3	8	0.5236046240556205
201	38	2	24	14	38	8	30	3	2	2	3	4	5	7	0.5022365130767692
202	26	22	36	34	6	22	22	3	3	3	6	4	5	7	0.48656265917348546
203	30	34	10	20	34	36	16	3	2	3	6	7	3	7	0.5251950463734963
204	26	6	34	14	40	4	26	3	2	3	3	7	6	8	0.48714610642488104
205	36	18	18	18	36	24	30	2	2	3	7	5	5	4	0.5087856453359914
206	24	26	38	4	32	12	2	2	2	5	7	5	7	3	0.5257040080925518
207	6	38	6	18	16	6	12	3	3	3	3	7	8	6	0.4802103933172017
